Symbol,Description,Sector,Industry
MMS,"Maximus, Inc.",Commercial services,Miscellaneous commercial services
BCC,"Boise Cascade, L.L.C.",Distribution services,Wholesale distributors
HLUBF,H. Lundbeck A/S,Health technology,Pharmaceuticals: major
FFIN,"First Financial Bankshares, Inc.",Finance,Major banks
GMWKF,Games Workshop Group,Consumer durables,Recreational products
VVV,Valvoline Inc.,Consumer services,Other consumer services
JBFCF,Jollibee Foods Corp.,Consumer services,Restaurants
CEF,Sprott Physical Gold and Silver Trust,Miscellaneous,Investment trusts/Mutual funds
CDUTF,Canadian Utilities Ltd.,Utilities,Gas distributors
CNAUF,Canadian Utilities Ltd.,Utilities,Gas distributors
CDUAF,Canadian Utilities Ltd.,Utilities,Gas distributors
ACIW,"ACI Worldwide, Inc.",Technology services,Packaged software
CRVL,CorVel Corp.,Finance,Insurance brokers/Services
AHEXY,Adecco Group AG,Commercial services,Personnel services
ITGGF,TG Holding SPA,Utilities,Gas distributors
NRKBF,NKT A/S ,Producer manufacturing,Electrical products
MC,Moelis & Company,Finance,Investment banks/Brokers
RMBS,"Rambus, Inc.",Electronic technology,Semiconductors
DY,"Dycom Industries, Inc.",Industrial services,Engineering & construction
MATX,"Matson, Inc.",Transportation,Marine shipping
ESYJY,easyJet Plc,Transportation,Airlines
FG,"F&G Annuities & Life, Inc.",Finance,Multi-line insurance
FGN,"F&G Annuities & Life, Inc. 7.950% Senior Notes due 2053",Finance,Multi-line insurance
NEU,NewMarket Corp,Process industries,Chemicals: specialty
BMRRY,B&M European Value Retail SA,Retail trade,Discount stores
MTPOF,Metropolitan Bank & Trust,Finance,Major banks
JBFCY,Jollibee Foods Corp.,Consumer services,Restaurants
KRYS,"Krystal Biotech, Inc.",Health technology,Biotechnology
CNX,CNX Resources Corporation,Energy minerals,Integrated oil
FBBPF,FIBRA PROLOGIS REIT CTFS,Finance,Real estate investment trusts
CLCGY,Clicks Group Ltd,Retail trade,Drugstore chains
CACC,Credit Acceptance Corporation,Finance,Finance/Rental/Leasing
ACT,"Enact Holdings, Inc.",Finance,Multi-line insurance
ITRI,"Itron, Inc.",Electronic technology,Electronic equipment/Instruments
YTLCF,YTL Corp. Berhad,Utilities,Electric utilities
UGI,UGI Corporation,Distribution services,Wholesale distributors
EJTTF,easyJet Plc,Transportation,Airlines
SON,Sonoco Products Company,Process industries,Containers/Packaging
PIPR,Piper Sandler Companies,Finance,Investment banks/Brokers
ACLLY,ACCELLERON INDS LTD.,Producer manufacturing,Trucks/Construction/Farm machinery
BYCRF,Baycurrent Consulting Inc.,Commercial services,Miscellaneous commercial services
FSS,Federal Signal Corporation,Producer manufacturing,Trucks/Construction/Farm machinery
CORT,Corcept Therapeutics Incorporated,Health technology,Pharmaceuticals: major
NE,Noble Corporation plc A,Industrial services,Contract drilling
AMBBY,Ambu A/S,Health technology,Medical specialties
AL,Air Lease Corporation,Finance,Finance/Rental/Leasing
FPRUY,Fraport AG,Transportation,Other transportation
TMSNY,Temenos AG,Technology services,Information technology services
MGY,Magnolia Oil & Gas Corporation,Energy minerals,Oil & gas production
LANC,Lancaster Colony Corporation,Consumer non-durables,Food: specialty/candy
OZK,Bank OZK,Finance,Regional banks
OZKAP,Bank OZK - 4.625% Series A Non-Cumulative Perpetual Preferred Stock,Finance,Regional banks
ACLIF,ACCELLERON INDS LTD.,Producer manufacturing,Trucks/Construction/Farm machinery
CNS,Cohen & Steers Inc,Finance,Investment managers
BMRPF,B&M European Value Retail SA,Retail trade,Discount stores
XYIGY,Xinyi Glass Holdings Ltd.,Consumer durables,Home furnishings
GATX,GATX Corporation,Transportation,Railroads
ESGR,Enstar Group Limited,Finance,Multi-line insurance
ESGRP,Enstar Group Limited - Depositary Shares Each Representing 1/1000th of an interest in Preference Shares,Finance,Multi-line insurance
ESGRO,"Enstar Group Limited - Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares, Series E",Finance,Multi-line insurance
CIBEY,Commercial International Bank Ltd.,Finance,Regional banks
VIRT,"Virtu Financial, Inc.",Finance,Investment banks/Brokers
RGLXY,RTL Group SA,Consumer services,Broadcasting
AHEXF,Adecco Group AG,Commercial services,Personnel services
POR,Portland General Electric Co,Utilities,Electric utilities
GPI,"Group 1 Automotive, Inc.",Retail trade,Specialty stores
TRKNY,Turk Telekomunikasyon,Communications,Major telecommunications
EXPO,"Exponent, Inc.",Industrial services,Engineering & construction
BGC,"BGC Group, Inc.",Finance,Investment banks/Brokers
NSA/PB,National Storage Affiliates Trust 6.000% Series B Cumulative Redeemable Preferred Shares of Beneficial Interest,Finance,Real estate investment trusts
NSA,National Storage Affiliates Trust,Finance,Real estate investment trusts
NSA/PA,National Storage Affiliates Trust 6.000% Series A Cumulative Redeemable Preferred Shares of Beneficial Interest (Liquidation Preference $25.00 per share),Finance,Real estate investment trusts
WHD,"Cactus, Inc. Class A Common Stock",Industrial services,Oilfield services/Equipment
LAZ,"Lazard, Inc.",Finance,Investment banks/Brokers
HCXLY,"Hiscox, Ltd.",Finance,Multi-line insurance
TCMFF,Telecom Argentina S.A.,Communications,Major telecommunications
MEGEF,Meg Energy Corp.,Energy minerals,Oil & gas production
SRUUF,Sprott Physical Uranium Trust,Miscellaneous,Investment trusts/Mutual funds
BPIRY,PIRAEUS FINL HLDGS S A,Finance,Regional banks
PLCQF,Polar Capital Technology Trust Plc.,Miscellaneous,Investment trusts/Mutual funds
RDN,Radian Group Inc.,Finance,Specialty insurance
HCXLF,"Hiscox, Ltd.",Finance,Multi-line insurance
CIVI,"Civitas Resources, Inc.",Energy minerals,Integrated oil
SAPMY,Saipem S.p.A.,Industrial services,Engineering & construction
FCFS,"FirstCash Holdings, Inc.",Finance,Finance/Rental/Leasing
MARA,"MARA Holdings, Inc.",Technology services,Data processing services
DELHF,De'Longhi S.p.A.,Consumer durables,Electronics/Appliances
MYTHY,METLEN ENERGY & METALS S A,Utilities,Alternative power generation
STRL,"Sterling Infrastructure, Inc.",Industrial services,Engineering & construction
THNPY,Technip Energies NV,Industrial services,Engineering & construction
FPRUF,Fraport AG,Transportation,Other transportation
COLM,Columbia Sportswear Company,Consumer non-durables,Apparel/Footwear
UNLRY,PT Unilever Indonesia Tbk,Consumer non-durables,Household/Personal care
MUR,Murphy Oil Corporation,Energy minerals,Oil & gas production
ELPC,Companhia Paranaense de Energia (COPEL),Utilities,Electric utilities
ELP,Companhia Paranaense de Energia (COPEL),Utilities,Electric utilities
VIST,Vista Energy S.A.B. de C.V.,Energy minerals,Oil & gas production
HTCMF,"Hitachi Construction Machinery Co., Ltd.",Producer manufacturing,Trucks/Construction/Farm machinery
FLO,"Flowers Foods, Inc.",Consumer non-durables,Food: specialty/candy
HSHZY,Hoshizaki Corporation,Producer manufacturing,Industrial machinery
PREKF,Prairiesky Royalty Ltd.,Miscellaneous,Investment trusts/Mutual funds
TSEM,Tower Semiconductor Ltd.,Electronic technology,Semiconductors
SEM,Select Medical Holdings Corporation,Health services,Hospital/Nursing management
HTCMY,"Hitachi Construction Machinery Co., Ltd.",Producer manufacturing,Trucks/Construction/Farm machinery
BDC,Belden Inc,Producer manufacturing,Electrical products
IESC,"IES Holdings, Inc.",Industrial services,Engineering & construction
AGLXY,AGL Energy Ltd,Utilities,Alternative power generation
RYN,Rayonier Inc. REIT,Finance,Real estate investment trusts
WTM,"White Mountains Insurance Group, Ltd.",Finance,Multi-line insurance
PTKFY,PT Kalba Farma TBK,Health technology,Pharmaceuticals: major
SSAAY,SSab Swedish Steel AB,Producer manufacturing,Metal fabrication
CRC,California Resources Corporation,Energy minerals,Integrated oil
XYIGF,Xinyi Glass Holdings Ltd.,Consumer durables,Home furnishings
NNCHY,Nissan Chemical Corporation,Electronic technology,Electronic equipment/Instruments
SM,SM Energy Company,Energy minerals,Oil & gas production
SLMBP,"SLM Corporation - Floating Rate Non-Cumulative Preferred Stock, Series B",Finance,Finance/Rental/Leasing
SLM,SLM Corporation,Finance,Finance/Rental/Leasing
SFBS,"ServisFirst Bancshares, Inc.",Finance,Regional banks
BOX,"Box, Inc.",Technology services,Information technology services
BCO,Brinks Company (The),Commercial services,Miscellaneous commercial services
THNPF,Technip Energies NV,Industrial services,Engineering & construction
SIM,"Grupo Simec, S.A.B. de C.V.",Non-energy minerals,Steel
MSSMY,"Misumi Group, Inc.",Producer manufacturing,Industrial machinery
ADMA,ADMA Biologics Inc,Health technology,Biotechnology
MSM,"MSC Industrial Direct Company, Inc.",Distribution services,Wholesale distributors
KTB,"Kontoor Brands, Inc.",Consumer non-durables,Apparel/Footwear
HWCPZ,Hancock Whitney Corporation - 6.25% Subordinated Notes due 2060,Finance,Regional banks
HWC,Hancock Whitney Corporation,Finance,Regional banks
XISHY,Xinyi Solar Holdings Limited,Electronic technology,Semiconductors
SHC,Sotera Health Company,Health technology,Medical specialties
NJR,NewJersey Resources Corporation,Utilities,Gas distributors
TLPPF,Telix Pharmaceutical Ltd.,Health technology,Biotechnology
ABG,Asbury Automotive Group Inc,Retail trade,Specialty stores
MMTOF,Mitsubishi Motors,Consumer durables,Motor vehicles
FELE,"Franklin Electric Co., Inc.",Producer manufacturing,Industrial machinery
EFGIF,EFG International AG,Finance,Investment managers
QRNNF,Aurizon Holdings Ltd.,Transportation,Railroads
QLYS,"Qualys, Inc.",Technology services,Packaged software
CTXAY,Ampol Ltd.,Energy minerals,Oil refining/Marketing
SSAAF,SSab Swedish Steel AB,Producer manufacturing,Metal fabrication
EEFT,"Euronet Worldwide, Inc.",Technology services,Data processing services
MAIN,Main Street Capital Corporation,Finance,Investment managers
RUSHB,"Rush Enterprises, Inc.",Retail trade,Specialty stores
RUSHA,"Rush Enterprises, Inc.",Retail trade,Specialty stores
SAPMF,Saipem S.p.A.,Industrial services,Engineering & construction
MZDAY,Mazda Motor Corp.,Consumer durables,Motor vehicles
KLBAY,Klabin S.A.,Non-energy minerals,Forest products
GLAPF,Glanbia Plc,Consumer non-durables,Food: meat/fish/dairy
IESFY,Interconexion Electrica S.A. E.S.P. - ISA,Utilities,Electric utilities
KCDMY,"Kimberly-Clark de Mexico, S.A.B de C.V.",Consumer non-durables,Household/Personal care
CTXAF,Ampol Ltd.,Energy minerals,Oil refining/Marketing
AGO,Assured Guaranty Ltd.,Finance,Specialty insurance
MGYOY,MOL Magyar Olaj-Es Gazipari RT,Energy minerals,Oil refining/Marketing
SNPHF,"Santen Pharmaceutical Co., Ltd.",Health technology,Pharmaceuticals: major
PAM,Pampa Energia S.A.,Utilities,Electric utilities
FRO,Frontline Plc,Transportation,Marine shipping
IPGLF,Interpump Group S.p.a.,Producer manufacturing,Industrial machinery
BECTY,Bechtle AG,Technology services,Information technology services
ABCB,Ameris Bancorp,Finance,Regional banks
FIZZ,National Beverage Corp.,Consumer non-durables,Beverages: non-alcoholic
MZDAF,Mazda Motor Corp.,Consumer durables,Motor vehicles
ALKS,Alkermes plc,Health technology,Pharmaceuticals: major
KOF,Coca Cola Femsa S.A.B. de C.V.,Consumer non-durables,Beverages: non-alcoholic
COCSF,Coca-Cola FEMSA S.A.B de CV,Consumer non-durables,Beverages: non-alcoholic
SPGYF,"Whitecap Resources, Inc.",Energy minerals,Integrated oil
RYKKY,Ryohin Keikaku Co. Ltd.,Consumer non-durables,Apparel/Footwear
MFGHF,Mainfreight Ltd.,Transportation,Airlines
COLZF,Coca Cola Icecek Sanayi As,Consumer non-durables,Beverages: non-alcoholic
CALM,"Cal-Maine Foods, Inc.",Process industries,Agricultural commodities/Milling
AB,AllianceBernstein Holding L.P.,Finance,Investment managers
TUIFF,TUI AG,Consumer services,Other consumer services
USSJY,USS Co. Ltd.,Retail trade,Internet retail
SNPHY,"Santen Pharmaceutical Co., Ltd.",Health technology,Pharmaceuticals: major
FUTU,Futu Holdings Limited,Finance,Investment banks/Brokers
IDCC,"InterDigital, Inc.",Technology services,Packaged software
HOG,"Harley-Davidson, Inc.",Consumer durables,Motor vehicles
STHRF,STRATHCONA RES LTD.,Energy minerals,Integrated oil
TMRAF,Tomra Systems A/S/A,Producer manufacturing,Miscellaneous manufacturing
TMRAY,Tomra Systems A/S/A,Producer manufacturing,Miscellaneous manufacturing
TSYHY,TravelSky Technology Ltd.,Technology services,Information technology services
TNET,"TriNet Group, Inc.",Commercial services,Miscellaneous commercial services
TGTX,"TG Therapeutics, Inc.",Health technology,Pharmaceuticals: major
ROAD,"Construction Partners, Inc.",Industrial services,Engineering & construction
BRPHF,Galaxy Digital Holdings Ltd.,Finance,Investment banks/Brokers
HPHTF,Hamamatsu Photonics,Electronic technology,Electronic components
KTWIF,Kurita Water Industries Ltd.,Producer manufacturing,Miscellaneous manufacturing
WAWIF,Wallenius Wilhelmsen ASA,Transportation,Marine shipping
SGAMY,"Sega Sammy Holdings, Inc.",Technology services,Packaged software
MHO,"M/I Homes, Inc.",Consumer durables,Homebuilding
PKIUF,Parkland Corp.,Distribution services,Wholesale distributors
OPCH,"Option Care Health, Inc.",Health services,Medical/Nursing services
KTWIY,Kurita Water Industries Ltd.,Producer manufacturing,Miscellaneous manufacturing
FINGF,Finning International Inc.,Distribution services,Wholesale distributors
NXE,Nexgen Energy Ltd.,Non-energy minerals,Other metals/Minerals
BTVCY,Britvic plc,Consumer non-durables,Beverages: non-alcoholic
KRNTY,Krones AG,Producer manufacturing,Industrial machinery
PETRY,Vibra Energia SA,Retail trade,Specialty stores
LRN,"Stride, Inc.",Consumer services,Other consumer services
CSMYF,Cosmos Pharmaceutical Corp.,Retail trade,Drugstore chains
SKYW,"SkyWest, Inc.",Transportation,Airlines
CPA,"Copa Holdings, S.A.",Transportation,Airlines
SIG,Signet Jewelers Limited,Retail trade,Specialty stores
WILWY,Wallenius Wilhelmsen ASA,Transportation,Marine shipping
BKH,Black Hills Corporation,Utilities,Electric utilities
PIFMY,PT Indofood Sukses Makmur TBK,Consumer non-durables,Food: specialty/candy
NOFCF,NOF Corp.,Process industries,Chemicals: specialty
KAI,Kadant Inc,Producer manufacturing,Industrial machinery
ASGN,ASGN Incorporated,Technology services,Information technology services
LOPE,"Grand Canyon Education, Inc.",Commercial services,Miscellaneous commercial services
HASI,"HA Sustainable Infrastructure Capital, Inc.",Finance,Real estate investment trusts
WEN,Wendy's Company (The),Consumer services,Restaurants
PLXS,Plexus Corp.,Electronic technology,Electronic production equipment
CCOI,"Cogent Communications Holdings, Inc.",Communications,Major telecommunications
KMPB,Kemper Corporation 5.875% Fixed-Rate Reset Junior Subordinated Debentures due 2062,Finance,Property/Casualty insurance
KMPR,Kemper Corporation,Finance,Property/Casualty insurance
GSHD,"Goosehead Insurance, Inc.",Finance,Insurance brokers/Services
GBDC,"Golub Capital BDC, Inc.",Finance,Investment managers
FUL,H. B. Fuller Company,Process industries,Industrial specialties
OTGLY,CD Projekt SA,Technology services,Packaged software
AALBF,A. Alberts Industries ,Producer manufacturing,Industrial machinery
DRTGF,JET2 PLC,Consumer services,Other consumer services
OGS,"ONE Gas, Inc.",Utilities,Gas distributors
CBWBF,"Canadian Western Bank (Edmonton, AB)",Finance,Regional banks
BLKB,"Blackbaud, Inc.",Technology services,Packaged software
BVN,Buenaventura Mining Company Inc.,Non-energy minerals,Precious metals
PII,Polaris Inc.,Consumer durables,Recreational products
BVHMF,VISTRY GROUP PLC.,Consumer durables,Homebuilding
ENS,EnerSys,Producer manufacturing,Electrical products
DORM,"Dorman Products, Inc.",Consumer durables,Automotive aftermarket
ACHC,"Acadia Healthcare Company, Inc.",Health services,Medical/Nursing services
VCTR,"Victory Capital Holdings, Inc. Class A Common Stock",Finance,Investment managers
SANM,Sanmina Corporation,Health technology,Medical specialties
IPAR,"Interparfums, Inc.",Consumer non-durables,Household/Personal care
UGP,Ultrapar Participacoes S.A. (New),Retail trade,Specialty stores
IBOC,International Bancshares Corporation,Finance,Regional banks
ACLLF,Atco Ltd.,Utilities,Electric utilities
GOLF,Acushnet Holdings Corp.,Consumer durables,Recreational products
BOOT,"Boot Barn Holdings, Inc.",Retail trade,Apparel/Footwear retail
BVHMY,VISTRY GROUP PLC.,Consumer durables,Homebuilding
SHAOF,Shimamura Corp.,Retail trade,Apparel/Footwear retail
VRRM,Verra Mobility Corporation,Transportation,Other transportation
KBSTF,"Kobe Steel, Ltd.",Non-energy minerals,Steel
HGV,Hilton Grand Vacations Inc.,Finance,Real estate development
FINN,"First National of Nebraska, Inc.",Finance,Major banks
CNO,"CNO Financial Group, Inc.",Finance,Multi-line insurance
CNO/PA,"CNO Financial Group, Inc. 5.125% Subordinated Debentures due 2060",Finance,Multi-line insurance
ELFIF,E L Financial Ltd.,Finance,Life/Health insurance
TPH,"Tri Pointe Homes, Inc.",Consumer durables,Homebuilding
FTDR,"Frontdoor, Inc.",Consumer durables,Homebuilding
GVA,Granite Construction Incorporated,Industrial services,Engineering & construction
AZIHF,Azimut Holding Spa,Finance,Financial conglomerates
VLOWY,Vallourec SA,Non-energy minerals,Steel
BBRYF,Burberry Group Plc,Consumer non-durables,Apparel/Footwear
AX,"Axos Financial, Inc.",Finance,Major banks
MRPLY,Mr. Price Group Ltd.,Retail trade,Apparel/Footwear retail
BURBY,Burberry Group Plc,Consumer non-durables,Apparel/Footwear
AEO,"American Eagle Outfitters, Inc.",Retail trade,Apparel/Footwear retail
ACLTF,Atco Ltd.,Utilities,Electric utilities
VLOUF,Vallourec SA,Non-energy minerals,Steel
HGTY,"Hagerty, Inc.",Finance,Property/Casualty insurance
IHCPF,Inchcape PLC,Distribution services,Wholesale distributors
JWN,"Nordstrom, Inc.",Retail trade,Department stores
CSAN,Cosan S.A.,Utilities,Gas distributors
TATYY,"Tate & Lyle, PLC",Consumer non-durables,Food: specialty/candy
CVCO,"Cavco Industries, Inc.",Consumer durables,Homebuilding
ITVPY,ITV Plc.,Consumer services,Movies/Entertainment
ATZAF,Aritzia Inc.,Retail trade,Apparel/Footwear retail
KFY,Korn Ferry,Commercial services,Personnel services
PBH,Prestige Consumer Healthcare Inc.,Health technology,Pharmaceuticals: major
ENGGY,Enagas S.A.,Utilities,Gas distributors
JBT,John Bean Technologies Corporation,Producer manufacturing,Industrial machinery
HAE,Haemonetics Corporation,Health technology,Medical specialties
CNK,"Cinemark Holdings, Inc.",Consumer services,Movies/Entertainment
ENIC,Enel Chile S.A.,Utilities,Electric utilities
GGGSY,Greggs Plc.,Consumer non-durables,Food: specialty/candy
DOOO,BRP Inc.,Producer manufacturing,Trucks/Construction/Farm machinery
MCY,Mercury General Corporation,Finance,Property/Casualty insurance
SKT,Tanger Inc.,Finance,Real estate investment trusts
WU,Western Union Company (The),Finance,Regional banks
SR/PA,"Spire Inc. Depositary Shares, each representing a 1/1,000th interest in a share of 5.90% Series A Cumulative Redeemable Perpetual Preferred Stock",Utilities,Gas distributors
SR,Spire Inc.,Utilities,Gas distributors
KGTHY,Krungthai Card Public Co. Ltd.,Finance,Finance/Rental/Leasing
IIPR/PA,"Innovative Industrial Properties, Inc. 9.00% Series A Cumulative Redeemable Preferred Stock",Finance,Real estate investment trusts
IIPR,"Innovative Industrial Properties, Inc.",Finance,Real estate investment trusts
IVCGF,IVECO GROUP NV,Consumer durables,Motor vehicles
PUODY,Promotora Y Operadora de Infraestructura SA,Transportation,Other transportation
NOG,"Northern Oil and Gas, Inc.",Energy minerals,Oil & gas production
ZSHGY,Zhongsheng Group Holdings Ltd,Retail trade,Specialty stores
ATAT,Atour Lifestyle Holdings Limited,Consumer services,Hotels/Resorts/Cruise lines
SIXGF,Sixt AG,Finance,Finance/Rental/Leasing
JUMSY,Jumbo SA,Retail trade,Specialty stores
WDFC,WD-40 Company,Process industries,Industrial specialties
BANF,BancFirst Corporation,Finance,Regional banks
APAM,Artisan Partners Asset Management Inc.,Finance,Investment managers
GMS,GMS Inc.,Distribution services,Wholesale distributors
ALBKY,Alpha Services and Holdings SA,Finance,Major banks
ASO,"Academy Sports and Outdoors, Inc.",Retail trade,Specialty stores
HPCRF,"Home Products Center Public Co., Ltd.",Retail trade,Home improvement chains
QNTQF,Qinetiq Group Plc.,Electronic technology,Aerospace & defense
EBC,"Eastern Bankshares, Inc.",Finance,Regional banks
THUPY,Thule Group AB,Consumer durables,Motor vehicles
NHI,"National Health Investors, Inc.",Finance,Real estate investment trusts
AROC,"Archrock, Inc.",Industrial services,Oilfield services/Equipment
CBZ,"CBIZ, Inc.",Commercial services,Miscellaneous commercial services
SLVM,Sylvamo Corporation,Process industries,Pulp & paper
IIJIF,"Internet Initiative Japan, Inc.",Communications,Major telecommunications
DKDRF,NEWMED ENERGY LTD.,Energy minerals,Integrated oil
BL,"BlackLine, Inc.",Technology services,Packaged software
HEGIY,"Hengan International Group Co., Ltd.",Consumer non-durables,Household/Personal care
VAL,Valaris Limited,Industrial services,Contract drilling
ATHM,Autohome Inc.,Technology services,Internet software/Services
TEX,Terex Corporation,Producer manufacturing,Trucks/Construction/Farm machinery
PAGP,"Plains GP Holdings, L.P.",Industrial services,Oil & gas pipelines
SMPL,The Simply Good Foods Company,Consumer non-durables,Food: major diversified
HXPLF,Hexpol AB,Producer manufacturing,Industrial machinery
YUEIF,Yue Yuen Industrial (Holdings) Ltd,Consumer non-durables,Apparel/Footwear
MWA,MUELLER WATER PRODUCTS,Producer manufacturing,Industrial machinery
PRIM,Primoris Services Corporation,Industrial services,Engineering & construction
BRC,Brady Corporation,Producer manufacturing,Miscellaneous manufacturing
EPR/PG,EPR Properties 5.750% Series G Cumulative Redeemable Preferred Shares,Finance,Real estate investment trusts
EPR/PE,EPR Properties Series E Cumulative Conv Pfd Shs Ser E,Finance,Real estate investment trusts
EPR/PC,EPR Properties 5.75% Series C Cumulative Convertible Preferred Shares,Finance,Real estate investment trusts
EPR,EPR Properties,Finance,Real estate investment trusts
TSYHF,TravelSky Technology Ltd.,Technology services,Information technology services
SAM,"Boston Beer Company, Inc. (The)",Consumer non-durables,Beverages: alcoholic
STLJF,Stella Jones Inc.,Non-energy minerals,Forest products
HCC,"Warrior Met Coal, Inc.",Energy minerals,Coal
ARLP,"Alliance Resource Partners, L.P.",Energy minerals,Coal
CAMT,Camtek Ltd.,Electronic technology,Electronic components
WLWHY,Woolworths Holdings Ltd.,Retail trade,Apparel/Footwear retail
QNTQY,Qinetiq Group Plc.,Electronic technology,Aerospace & defense
JTTRY,Japan Airport Terminal,Transportation,Other transportation
IIJIY,"Internet Initiative Japan, Inc.",Communications,Major telecommunications
RTOXF,Rotork PLC,Producer manufacturing,Industrial machinery
CAMRF,Camurus AB,Health technology,Pharmaceuticals: major
BBAR,Banco BBVA Argentina S.A.,Finance,Major banks
POWL,"Powell Industries, Inc.",Producer manufacturing,Electrical products
EGO,Eldorado Gold Corporation,Non-energy minerals,Precious metals
VRLAF,"VERALLIA, COURBEVOIE",Process industries,Containers/Packaging
IRDM,Iridium Communications Inc,Communications,Specialty telecommunications
BTU,Peabody Energy Corporation,Energy minerals,Coal
ABM,ABM Industries Incorporated,Commercial services,Miscellaneous commercial services
FHI,"Federated Hermes, Inc.",Finance,Investment managers
CATY,Cathay General Bancorp,Finance,Regional banks
BCKIF,Babcock International Group Plc,Producer manufacturing,Trucks/Construction/Farm machinery
SMSEY,Samsonite International SA,Consumer durables,Other consumer specialties
STNE,StoneCo Ltd.,Technology services,Packaged software
YUEIY,Yue Yuen Industrial (Holdings) Ltd,Consumer non-durables,Apparel/Footwear
ESE,ESCO Technologies Inc.,Electronic technology,Electronic equipment/Instruments
URBN,"Urban Outfitters, Inc.",Retail trade,Apparel/Footwear retail
SMSOF,Samsonite International SA,Consumer durables,Other consumer specialties
FULT,Fulton Financial Corporation,Finance,Major banks
FULTP,"Fulton Financial Corporation - Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",Finance,Major banks
TYTMF,Tokyo Tatemono Company Ltd.,Finance,Real estate development
OTTR,Otter Tail Corporation,Utilities,Electric utilities
AEBZY,Anadolu Efes Biracilik Ve Malt AS,Consumer non-durables,Beverages: non-alcoholic
HP,"Helmerich & Payne, Inc.",Industrial services,Contract drilling
TBURF,"Tobu Railway Co., Ltd.",Transportation,Railroads
REMYF,Remy Cointreau SA,Consumer non-durables,Beverages: alcoholic
ATMU,Atmus Filtration Technologies Inc.,Producer manufacturing,Auto parts: OEM
SHOO,"Steven Madden, Ltd.",Consumer non-durables,Apparel/Footwear
SBFFY,SBM Offshore NV,Industrial services,Oilfield services/Equipment
TTVSY,Totvs SA,Technology services,Packaged software
BOSSY,Hugo Boss AG,Consumer non-durables,Apparel/Footwear
NWE,"NorthWestern Energy Group, Inc.",Utilities,Electric utilities
PAYO,Payoneer Global Inc.,Commercial services,Miscellaneous commercial services
REMYY,Remy Cointreau SA,Consumer non-durables,Beverages: alcoholic
NZTCF,Spark New Zealand Limited,Communications,Major telecommunications
JJSF,J & J Snack Foods Corp.,Consumer non-durables,Food: specialty/candy
TGLS,Tecnoglass Inc.,Producer manufacturing,Building products
CBU,"Community Financial System, Inc.",Finance,Major banks
CEIX,CONSOL Energy Inc.,Energy minerals,Coal
SEPJY,Spectris Plc.,Producer manufacturing,Electrical products
SENGF,Sinopec Engr Group Co Ltd,Industrial services,Engineering & construction
SXT,Sensient Technologies Corporation,Consumer non-durables,Food: specialty/candy
MGEE,MGE Energy Inc.,Utilities,Electric utilities
TDC,Teradata Corporation,Technology services,Packaged software
BAFBF,Balfour Beatty Plc,Industrial services,Engineering & construction
FHB,"First Hawaiian, Inc.",Finance,Regional banks
SPKKY,Spark New Zealand Limited,Communications,Major telecommunications
SEPJF,Spectris Plc.,Producer manufacturing,Electrical products
FBP,First BanCorp. New,Finance,Regional banks
BVILF,Breville Group Ltd.,Consumer durables,Electronics/Appliances
EDRWY,"Electric Power Development Co., Ltd.",Utilities,Electric utilities
IWTNF,IWATANI CORP.,Distribution services,Wholesale distributors
ICFI,"ICF International, Inc.",Commercial services,Miscellaneous commercial services
IFS,Intercorp Financial Services Inc.,Finance,Investment managers
BSM,"Black Stone Minerals, L.P.",Miscellaneous,Investment trusts/Mutual funds
AEBMF,Anadolu Efes Biracilik Ve Malt AS,Consumer non-durables,Beverages: non-alcoholic
AMED,Amedisys Inc,Health services,Medical/Nursing services
PAY,"Paymentus Holdings, Inc.",Commercial services,Miscellaneous commercial services
HCXY,"Hercules Capital, Inc. 6.25% Notes due 2033",Finance,Investment managers
HTGC,"Hercules Capital, Inc.",Finance,Investment managers
GFF,Griffon Corporation,Producer manufacturing,Building products
GRRMF,Gerresheimer AG,Process industries,Containers/Packaging
STNG,Scorpio Tankers Inc.,Transportation,Marine shipping
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,Transportation,Other transportation
USLM,"United States Lime & Minerals, Inc.",Non-energy minerals,Construction materials
ATKR,Atkore Inc.,Producer manufacturing,Electrical products
ZGN,Ermenegildo Zegna N.V.,Consumer non-durables,Apparel/Footwear
PHPPY,Signify N.V.,Producer manufacturing,Electrical products
TDW,Tidewater Inc.,Transportation,Marine shipping
CXT,"Crane NXT, Co.",Producer manufacturing,Industrial machinery
MDU,"MDU Resources Group, Inc.",Utilities,Gas distributors
SLOIF,"Soitec, Bernin",Electronic technology,Electronic components
TAC,TransAlta Corporation,Utilities,Electric utilities
BCKIY,Babcock International Group Plc,Producer manufacturing,Trucks/Construction/Farm machinery
AWR,American States Water Company,Utilities,Water utilities
GEF,Greif Inc.,Process industries,Containers/Packaging
GEF.B,"Greif, Inc. Corporation",Process industries,Containers/Packaging
GRBK/PA,"Green Brick Partners, Inc. Depositary Shares (each representing a 1/1000th fractional interest in a share of 5.75% Series A Cumulative Perpetual Preferred Stock",Consumer durables,Homebuilding
GRBK,"Green Brick Partners, Inc.",Consumer durables,Homebuilding
BYLOF,Big Yellow Group PLC,Finance,Real estate investment trusts
